Period,Time,Date ,UtzSpend,UtzImpressions,Zapp'sSpend,Zapp'sImp,OTBSpend,OTBImp,GHSpend,GHImp,BCSpend,BCImp,GFSpend,GFImp,RWSpend,RWImp
2020_P12,12/27/2020,2020|53,0,0,0,0,88.23,98421,0,0,0,0,0,0,0,0
2020_P12,01/03/2021,2021|02,0,0,0,0,408.53,444575,0,0,0,0,0,0,0,0
2021_P1,01/10/2021,2021|03,0,0,0,0,290.28,282135,0,0,0,0,0,0,0,0
2021_P1,01/17/2021,2021|04,0,0,0,0,292.72,199480,0,0,0,0,0,0,0,0
2021_P1,01/24/2021,2021|05,0,0,0,0,339.95,260381,0,0,0,0,0,0,0,0
2021_P1,01/31/2021,2021|06,0,0,0,0,313.95,288544,0,0,0,0,0,0,0,0
2021_P1,02/07/2021,2021|07,0,0,0,0,354.12,315615,0,0,0,0,0,0,0,0
2021_P2,02/14/2021,2021|08,0,0,0,0,486.38,245586,0,0,0,0,0,0,0,0
2021_P2,02/21/2021,2021|09,0,0,0,0,81.68,12393,0,0,0,0,0,0,0,0
2021_P2,02/28/2021,2021|10,0,0,0,0,392.03,272251,0,0,0,0,0,0,0,0
2021_P2,03/07/2021,2021|11,0,0,0,0,330.28,217472,0,0,0,0,0,0,0,0
2021_P3,03/14/2021,2021|12,0,0,0,0,403.66,349186,0,0,0,0,0,0,0,0
2021_P3,03/21/2021,2021|13,0,0,0,0,696.55,628716,0,0,0,0,0,0,0,0
2021_P3,03/28/2021,2021|14,0,0,0,0,206.25,128397,0,0,0,0,0,0,0,0
2021_P3,04/04/2021,2021|15,0,0,0,0,373.99,296525,0,0,0,0,0,0,0,0
2021_P4,04/11/2021,2021|16,0,0,0,0,441.82,305004,0,0,0,0,0,0,0,0
2021_P4,04/18/2021,2021|17,0,0,0,0,573.56,395603,0,0,0,0,0,0,0,0
2021_P4,04/25/2021,2021|18,0,0,0,0,20.01,9505,0,0,0,0,0,0,0,0
2021_P4,05/02/2021,2021|19,0,0,0,0,54.7,14148,0,0,0,0,0,0,0,0
2021_P4,05/09/2021,2021|20,0,0,0,0,65.68,102102,0,0,0,0,0,0,0,0
2021_P5,05/16/2021,2021|21,0,0,0,0,0,190,0,0,0,0,0,0,0,0
2021_P5,05/23/2021,2021|22,0,0,0,0,95.83,30081,0,0,0,0,0,0,0,0
